SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,367900,4,2.5,New Territory Prcl Sf-37,2265,6696,1997,23,162,93,Active,October-23-2022 01:00 PM,October-23-2022 04:00 PM,HARMLS,25722881,N,Y,29.5858898,-95.6870309
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,1075000,5,4.5,Olive Hill At Riverstone,4604,14300,2013,22,233,93,Active,,,HARMLS,71574551,N,Y,29.5448297,-95.593752
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,820000,4,4.5,Riverstone,4293,12444,2013,16,191,92,Active,,,HARMLS,63272289,N,Y,29.5323141,-95.5685785
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,647500,3,3,Sugar Creek,3079,14000,1972,21,210,54,Active,,,HARMLS,64535945,N,Y,29.6112766,-95.5864881
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,372200,3,2,Colony Bend,2184,7820,1978,9,170,21,Active,,,HARMLS,58312019,N,Y,29.5846673,-95.6105814
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,695000,4,3.5,Villages Of Avalon Sec 3,3212,14886,2000,25,216,92,Active,October-23-2022 01:00 PM,October-23-2022 04:00 PM,HARMLS,10491428,N,Y,29.5552286,-95.6335962
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,689000,5,4,Auburn Manor At Riverstone Sec 2,3762,8080,2013,22,183,93,Active,,,HARMLS,9456524,N,Y,29.5406384,-95.5854828
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,490000,4,2,Sugar Creek Sec 3,2406,9120,1972,22,204,44,Active,,,HARMLS,96028121,N,Y,29.6149138,-95.5842517
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,569000,5,3.5,Telfair Sec 5,3055,8569,2006,26,186,69,Active,,,HARMLS,12017140,N,Y,29.5874663,-95.6590647
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,415000,4,2.5,Colony Bend Sec 1,2654,7475,1978,27,156,61,Active,,,HARMLS,9239092,N,Y,29.5841444,-95.6090625
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,568999,4,4,Telfair Sec 9,2839,8096,2009,27,200,104,Active,,,HARMLS,72718848,N,Y,29.5981013,-95.6578937
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,544999,4,4,Austin Meadow,3032,8747,1989,7,180,68,Active,,,HARMLS,89108177,N,Y,29.5685904,-95.6363274
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,539900,4,2.5,Telfair,2809,7500,2010,28,192,71,Active,October-23-2022 02:00 PM,October-23-2022 04:00 PM,HARMLS,43535440,N,Y,29.6035007,-95.6598864
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,368000,4,3,Riverpark Sec 2,2926,8460,1999,23,126,75,Active,,,HARMLS,82193722,N,Y,29.5695378,-95.6830438
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,310000,3,2,Settlers Park,1907,6464,1978,28,163,63,Active,,,HARMLS,47040862,N,Y,29.5867338,-95.601181
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,745000,4,4.5,Silent Manor At Imperial,2879,6895,2015,28,259,83,Active,,,HARMLS,83050063,N,Y,29.6259478,-95.6409276
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,500000,5,3.5,Kingsbridge Village,3596,,2003,28,139,42,Active,,,HARMLS,52265840,N,Y,29.6743754,-95.6597426
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,305000,3,2.5,Settlers Park Sec 2,1843,,1982,28,165,42,Active,October-23-2022 01:00 PM,October-23-2022 03:00 PM,HARMLS,3005597,N,Y,29.5781768,-95.6006884
MLS Listing,,Single Family Residential,Meadows Place,TX,77477,246000,4,3.5,Meadows Sec 4,3198,7414,1974,29,77,,Active,,,HARMLS,78895859,N,Y,29.6548138,-95.5965609
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,899000,4,3.5,Avalon at Riverstone,3913,8416,2022,29,230,148,Active,,,HARMLS,4409348,N,Y,29.537272,-95.5814915
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,485000,4,2.5,Austin Meadows Sec 2,2800,8722,1991,29,173,68,Active,,,HARMLS,93276182,N,Y,29.5647215,-95.634931
