Days on Zillow,Status,Price,Zipcode,House Size,Lot Size,Year Built,Schools Rating,Rent Estimate
32,House for sale,530000,77382,2630,9164,2001,9,2908
32,House for sale,570000,77354,5182,12000,2006,5.7,2827
0,House for sale,359900,77316,2034,5055,2015,5,2021
0,House for sale,539000,77384,4076,9169,2017,9,2368
26,House for sale,827000,77354,3264,107985,2006,6.7,3618
17,House for sale,649500,77316,2836,7500,2018,5,2878
0,House for sale,639900,77316,2464,7500,2018,5,2936
0,House for sale,510000,77316,2585,6599,2016,5,2368
3,House for sale,299999,77385,2914,15000,1970,5.5,2350
2,House for sale,334900,77302,2201,13760,1972,5.5,1997
3,House for sale,484900,77302,3179,22144,1970,5.6,2469
0,House for sale,395000,77385,2201,8788,2004,8,2094
0,House for sale,426000,77302,2842,23430,1982,5.3,2318
0,House for sale,375000,77302,2950,107114,1979,5.5,2350
0,House for sale,299000,77304,2937,7200,1977,5,2350
2,House for sale,248500,77385,1858,12330,1972,6.5,1607
3,House for sale,365000,77301,2433,6000,2017,5.5,1705
4,House for sale,350000,77385,1937,6325,2003,8,2076
0,House for sale,245000,77385,1635,8438,1979,6.3,1784
0,House for sale,629900,77384,3452,9447,2019,8.5,3179
0,House for sale,350000,77302,2724,10325,1972,5.6,2285
10,House for sale,699000,77304,3276,43560,2003,5,3600
4,House for sale,420000,77385,2536,6498,2012,6.5,2375
38,House for sale,245000,77385,1576,12000,1970,6.5,2059
0,House for sale,415000,77304,2721,7531,1982,5,2279
0,House for sale,550000,77301,4420,10880,2013,5.3,3394
5,House for sale,300000,77385,2096,5005,2013,6.3,1800
5,House for sale,264999,77301,1304,8843,2011,5.5,1521
3,House for sale,674900,77301,3691,24806,2011,5.3,3608
0,House for sale,549900,77384,2972,8125,2016,8.3,2747
25,House for sale,445000,77385,3280,22850,1978,6.5,1629
5,House for sale,799000,77302,4768,28769,2009,5.3,4560
0,House for sale,516000,77384,3161,12986,2003,8.5,2834
20,House for sale,679000,77304,3585,43560,2004,5,3484
5,House for sale,330000,77301,1670,7500,2017,5.5,1748
3,House for sale,329900,77301,2097,6688,2006,5.3,1995
0,House for sale,317500,77304,1970,9540,2017,5,2060
0,House for sale,880000,77384,3166,11745,2017,8.5,4000
0,House for sale,440000,77301,2984,8014,2013,5.3,2443
0,House for sale,599000,77302,3069,34656,2001,5.3,2833
0,House for sale,349000,77385,2640,5275,2011,6.5,2350
2,House for sale,325000,77385,2475,6945,2000,8,2149
0,House for sale,331000,77301,1862,6640,2012,5.3,1849
4,House for sale,549000,77385,3972,8419,2011,6.5,2889
0,House for sale,335000,77304,2480,5896,2014,5,2124
0,House for sale,339000,77384,2046,6050,2008,8.3,2149
3,House for sale,619900,77384,3734,8122,2015,8.3,2961
0,House for sale,314800,77385,2312,5203,2008,6.5,2030
31,House for sale,675000,77302,4901,33000,2004,5.3,3976
0,House for sale,395000,77385,2570,6658,2005,8,2209
0,House for sale,399000,77384,2442,6882,2013,8.3,2357
0,House for sale,495000,77304,2373,9056,2017,4.8,2225
0,House for sale,629000,77301,4888,12705,2004,5.3,2987
12,House for sale,725000,77302,4304,32999,2004,5.3,3695
31,House for sale,449900,77385,4060,6050,2012,6.5,4058
10,House for sale,650000,77385,3166,7982,2013,6.5,2594
9,House for sale,240000,77301,1328,8640,1950,5.5,1615
0,House for sale,474900,77304,3419,19665,1982,5,928
12,House for sale,395000,77384,2296,9575,2016,8.3,2327
92,House for sale,259000,77301,1724,6904,1975,5.5,1500
21,House for sale,380000,77385,3136,5353,2013,6.5,2594
0,House for sale,395999,77304,2992,6826,2019,5,2549
0,House for sale,499999,77384,2353,7664,2017,8.5,2281
0,House for sale,390000,77385,2127,8187,2003,8,2114
16,House for sale,370000,77385,2695,5005,2014,6.5,2480
0,House for sale,273000,77301,1320,5000,2009,5.5,1550
25,House for sale,550000,77384,2339,8848,2016,8.5,2290
380,House for sale,449900,77302,2090,467922,1982,5.5,1898
10,House for sale,598700,77304,3020,7344,2018,4.8,3164
8,House for sale,775000,77302,3703,40274,2003,5.3,3718
0,House for sale,600000,77384,2874,8383,2019,8.5,2588
17,House for sale,395000,77385,2304,6943,2005,8,2049
0,House for sale,376000,77385,2372,6756,2001,8,2174
0,House for sale,399999,77385,2488,7497,2003,8,2160
143,House for sale,425000,77302,1459,109336,1974,5.5,1559
0,House for sale,799000,77302,2620,4473,1973,5.6,1999
129,New construction,354140,77301,1670,7163,1975,5.5,1581
130,New construction,331690,77301,1308,8241,1975,5.5,1581
4,House for sale,154900,77302,1120,18357,2002,4,1520
3,House for sale,349000,77302,1730,91912,1982,3.8,1895
0,House for sale,220000,77302,1145,7405,2004,4,1500
0,House for sale,379990,77306,928,140525,1976,4,1575
0,House for sale,559000,77302,2817,7522,2020,4,2615
0,House for sale,720000,77302,1411,261360,1975,3.8,2840
18,House for sale,529500,77302,2757,7142,2019,4,2575
0,House for sale,325000,77306,1750,118919,2004,4,1552
0,House for sale,259000,77306,1100,98446,1955,4,1451
13,House for sale,320000,77302,1848,101499,1996,4,1639
152,House for sale,299000,77302,1770,18572,2020,3.8,1561
0,House for sale,165000,77306,1352,401972,1960,4,1550
47,House for sale,700000,77306,3488,409464,1976,4,2379
19,House for sale,599000,77306,1917,217800,1970,3.8,1561
0,House for sale,729990,77306,672,871200,1999,4,3026
