addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
30102 Fm 2920 Rd			Waller	Harris County	2022-08-13T14:34:33.256Z	87	30102 Fm 2920 Rd, Waller, TX 77484	30102-Fm-2920-Rd,-Waller,-TX-77484	2022-10-24T14:55:19.395Z	30.065577	2022-07-29T19:36:49.000Z	-95.891626	1698840	11891880	Single Family	30102 FM 2920 Rd, Waller, TX 77484			TX	Active		77484
15806 Congo Ln	3	4	Jersey Village	Harris County	2022-08-05T14:00:06.767Z	87	15806 Congo Ln, Jersey Village, TX 77040	15806-Congo-Ln,-Jersey-Village,-TX-77040	2022-10-24T14:55:19.394Z	29.884208	2022-07-29T22:24:27.000Z	-95.559439	11552	325000	Single Family	15806 Congo Ln, Jersey Village, TX 77040		2704	TX	Active	1973	77040
2411 Encreek Rd	2	4	Houston	Harris County	2022-08-05T14:00:06.778Z	87	2411 Encreek Rd, Houston, TX 77068	2411-Encreek-Rd,-Houston,-TX-77068	2022-10-24T14:55:19.393Z	30.019548	2022-07-29T20:51:35.000Z	-95.476348	19200	335000	Single Family	2411 Encreek Rd, Houston, TX 77068		2055	TX	Active	1972	77068
17818 Beeching Dr	2.5	4	Tomball	Harris County	2022-09-05T14:17:41.578Z	87	17818 Beeching Dr, Tomball, TX 77377	17818-Beeching-Dr,-Tomball,-TX-77377	2022-10-24T14:55:19.393Z	30.090906	2022-07-29T20:09:18.000Z	-95.701055	5750	369990	Single Family	17818 Beeching Dr, Tomball, TX 77377		2593	TX	Active	2022	77377
9435 Pinole Ln	2	3	Houston	Harris County	2022-08-05T14:00:06.772Z	87	9435 Pinole Ln, Houston, TX 77086	9435-Pinole-Ln,-Houston,-TX-77086	2022-10-24T14:55:19.392Z	29.917675	2022-07-29T22:24:27.000Z	-95.49729	6299	219990	Single Family	9435 Pinole Ln, Houston, TX 77086		1391	TX	Active	1978	77086
5317 Chennault Rd	2	3	Houston	Harris County	2021-05-12T10:29:57.014Z	87	5317 Chennault Rd, Houston, TX 77033	5317-Chennault-Rd,-Houston,-TX-77033	2022-10-24T14:55:19.392Z	29.683102	2022-07-29T22:24:27.000Z	-95.338932	5692	545000	Duplex-Triplex	5317 Chennault Rd, Houston, TX 77033		3216	TX	Active	2022	77033
5607B Bacher St	2	3	Houston	Harris County	2021-12-03T14:11:32.295Z	87	5607B Bacher St, Houston, TX 77028	5607B-Bacher-St,-Houston,-TX-77028	2022-10-24T14:55:19.391Z	29.812566	2022-07-29T23:33:19.000Z	-95.278059	5001	209000	Single Family	5607B Bacher St, Houston, TX 77028		1225	TX	Active	2021	77028
361 Blue Lake Ct	2	2	Huffman	Harris County	2022-05-16T15:25:24.109Z	87	361 Blue Lake Ct, Huffman, TX 77336	361-Blue-Lake-Ct,-Huffman,-TX-77336	2022-10-24T14:55:19.391Z	30.112337	2022-07-30T01:14:19.000Z	-95.138894	29969	199750	Single Family	361 Blue Lake Ct, Huffman, TX 77336		960	TX	Active	2011	77336
2022 Thonig Rd	2.5	3	Houston	Harris County	2022-08-05T14:00:06.782Z	87	2022 Thonig Rd, Unit A, Houston, TX 77055	2022-Thonig-Rd,-Unit-A,-Houston,-TX-77055	2022-10-24T14:55:19.391Z	29.8088	2022-07-29T20:26:18.000Z	-95.477406	2130	439000	Single Family	2022 Thonig Rd Unit A, Houston, TX 77055		1859	TX	Active	2022	77055
8710 Dallam Ct	3	4	Houston	Harris County	2022-08-05T14:00:06.771Z	87	8710 Dallam Ct, Houston, TX 77064	8710-Dallam-Ct,-Houston,-TX-77064	2022-10-24T14:55:19.390Z	29.900711	2022-07-29T22:24:27.000Z	-95.567306	8760	447000	Single Family	8710 Dallam Ct, Houston, TX 77064		3634	TX	Active	1998	77064
23906 Primrose Garden Rd	3.5	4	Katy	Harris County	2022-09-05T14:17:41.572Z	87	23906 Primrose Garden Rd, Katy, TX 77493	23906-Primrose-Garden-Rd,-Katy,-TX-77493	2022-10-24T14:55:19.390Z	29.88304	2022-07-29T23:59:02.000Z	-95.789247	8884	654857	Single Family	23906 Primrose Garden Rd, Katy, TX 77493		3757	TX	Active	2022	77493
2418 Delafield St	1	3	Houston	Harris County	2022-08-05T14:00:06.766Z	87	2418 Delafield St, Houston, TX 77023	2418-Delafield-St,-Houston,-TX-77023	2022-10-24T14:55:19.390Z	29.716241	2022-07-29T22:24:27.000Z	-95.322692	5702	249900	Single Family	2418 Delafield St, Houston, TX 77023		1329	TX	Active	1928	77023
1807 Davis St			Houston	Harris County	2022-06-25T14:13:07.594Z	87	1807 Davis St, Houston, TX 77026	1807-Davis-St,-Houston,-TX-77026	2022-10-24T14:55:19.389Z	29.778008	2022-07-30T02:18:31.000Z	-95.343116	5001	130000	Land	1807 Davis St, Houston, TX 77026			TX	Active		77026
3502 Lynette Cove Pl	2.5	3	Houston	Harris County	2022-10-01T14:53:28.308Z	87	3502 Lynette Cove Pl, Houston, TX 77018	3502-Lynette-Cove-Pl,-Houston,-TX-77018	2022-10-24T14:55:19.389Z	29.819785	2022-07-30T01:56:54.000Z	-95.43011	4673	534900	Single Family	3502 Lynette Cove Pl, Houston, TX 77018		2540	TX	Active	2022	77018
13031 Crescent Manor Ln	2.5	3	Houston	Harris County	2022-08-05T14:00:00.276Z	87	13031 Crescent Manor Ln, Houston, TX 77072	13031-Crescent-Manor-Ln,-Houston,-TX-77072	2022-10-24T14:55:19.389Z	29.685663	2022-07-29T22:24:27.000Z	-95.612108	4953	295000	Single Family	13031 Crescent Manor Ln, Houston, TX 77072		2650	TX	Active	2005	77072
3226 Enclave Ln	3.5	4	Houston	Harris County	2022-08-05T14:00:00.278Z	87	3226 Enclave Ln, Houston, TX 77077	3226-Enclave-Ln,-Houston,-TX-77077	2022-10-24T14:55:19.389Z	29.752125	2022-07-29T22:24:27.000Z	-95.622036	5624	489900	Single Family	3226 Enclave Ln, Houston, TX 77077		3910	TX	Active	2001	77077
15655 N Brentwood St	2	3	Channelview	Harris County	2022-08-05T14:00:00.274Z	87	15655 N Brentwood St, Channelview, TX 77530	15655-N-Brentwood-St,-Channelview,-TX-77530	2022-10-24T14:55:19.388Z	29.785601	2022-07-29T22:50:51.000Z	-95.128014	70872	389900	Single Family	15655 N Brentwood St, Channelview, TX 77530		1737	TX	Active	1974	77530
4609 Floyd St	3.5	3	Houston	Harris County	2022-08-05T14:00:00.269Z	87	4609 Floyd St, Unit A, Houston, TX 77007	4609-Floyd-St,-Unit-A,-Houston,-TX-77007	2022-10-24T14:55:19.388Z	29.76814	2022-07-30T00:11:29.000Z	-95.407816	1854	480000	Townhouse	4609 Floyd St Unit A, Houston, TX 77007		2285	TX	Active	2004	77007
21402 Fields Store Rd			Waller	Harris County	2022-08-11T13:56:55.244Z	87	21402 Fields Store Rd, Waller, TX 77484	21402-Fields-Store-Rd,-Waller,-TX-77484	2022-10-24T14:55:19.388Z	30.08549	2022-07-29T22:24:27.000Z	-95.921809	2659817	7447488	Single Family	21402 Fields Store Rd, Waller, TX 77484			TX	Active		77484
