addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
4510 Austin St	2	3	Houston	Harris County	2022-10-23T08:22:47.079Z	1	4510 Austin St, Houston, TX 77004	4510-Austin-St,-Houston,-TX-77004	2022-10-23T08:22:47.079Z	29.73115	2022-10-22T12:56:04.000Z	-95.380586	5001	530000	Single Family	4510 Austin St, Houston, TX 77004		1904	TX	Active	1925	77004
2635 Hawthorn Mill Ln	2.5	3	Houston	Harris County	2021-08-31T17:19:39.520Z	1	2635 Hawthorn Mill Ln, Houston, TX 77038	2635-Hawthorn-Mill-Ln,-Houston,-TX-77038	2022-10-23T08:22:47.078Z	29.906517	2022-10-22T15:17:41.000Z	-95.456696	5401	261800	Single Family	2635 Hawthorn Mill Ln, Houston, TX 77038		2189	TX	Active	2017	77038
8003 Appleton St	2.5	1	Houston	Harris County	2022-10-23T08:22:47.078Z	1	8003 Appleton St, Houston, TX 77022	8003-Appleton-St,-Houston,-TX-77022	2022-10-23T08:22:47.078Z	29.834442	2022-10-22T13:11:33.000Z	-95.368373	4103	124000	Single Family	8003 Appleton St, Houston, TX 77022		1048	TX	Active	1955	77022
3406 Asher Landing Ln	3	4	Houston	Harris County	2022-10-23T08:22:47.078Z	1	3406 Asher Landing Ln, Houston, TX 77080	3406-Asher-Landing-Ln,-Houston,-TX-77080	2022-10-23T08:22:47.078Z	29.823901	2022-10-22T13:03:11.000Z	-95.533939	4661	599900	Single Family	3406 Asher Landing Ln, Houston, TX 77080		2336	TX	Active	2022	77080
3618 Weston Manor Ln	3.5	4	Houston	Harris County	2022-10-23T08:22:47.077Z	1	3618 Weston Manor Ln, Houston, TX 77055	3618-Weston-Manor-Ln,-Houston,-TX-77055	2022-10-23T08:22:47.077Z	29.784277	2022-10-22T14:00:04.000Z	-95.440015	2625	775448	Single Family	3618 Weston Manor Ln, Houston, TX 77055		3201	TX	Active	2023	77055
4802 Shore Hills Dr	2.5	4	Houston	Harris County	2022-10-23T08:22:47.077Z	1	4802 Shore Hills Dr, Houston, TX 77345	4802-Shore-Hills-Dr,-Houston,-TX-77345	2022-10-23T08:22:47.077Z	30.049956	2022-10-22T13:36:57.000Z	-95.171051	11774	499000	Single Family	4802 Shore Hills Dr, Houston, TX 77345		2700	TX	Active	1981	77345
3350 Mccue Rd	3.5	3	Houston	Harris County	2022-10-23T08:22:47.076Z	1	3350 Mccue Rd, Apt 2602, Houston, TX 77056	3350-Mccue-Rd,-Apt-2602,-Houston,-TX-77056	2022-10-23T08:22:47.076Z	29.729872	2022-10-22T14:53:31.000Z	-95.464835		1150000	Condo	3350 McCue Rd Apt 2602, Houston, TX 77056		3364	TX	Active	1983	77056
19014 Canyon River Ln	2	3	Houston	Harris County	2022-10-23T08:22:47.076Z	1	19014 Canyon River Ln, Houston, TX 77084	19014-Canyon-River-Ln,-Houston,-TX-77084	2022-10-23T08:22:47.076Z	29.81713	2022-10-22T15:23:10.000Z	-95.70182	7322	429000	Single Family	19014 Canyon River Ln, Houston, TX 77084		2456	TX	Active	1994	77084
4726 Cashel Castle Dr	3	4	Houston	Harris County	2022-10-23T08:22:47.076Z	1	4726 Cashel Castle Dr, Houston, TX 77069	4726-Cashel-Castle-Dr,-Houston,-TX-77069	2022-10-23T08:22:47.076Z	29.989914	2022-10-22T14:48:23.000Z	-95.50547	7013	287770	Single Family	4726 Cashel Castle Dr, Houston, TX 77069		2250	TX	Active	1984	77069
1350 Chardonnay Dr	2.5	2	Houston	Harris County	2022-04-01T13:07:11.757Z	1	1350 Chardonnay Dr, Houston, TX 77077	1350-Chardonnay-Dr,-Houston,-TX-77077	2022-10-23T08:22:47.075Z	29.755174	2022-10-22T15:39:33.000Z	-95.584782	903156	279500	Townhouse	1350 Chardonnay Dr, Houston, TX 77077		1941	TX	Active	1977	77077
5830 Highland Sky Ln	2.5	3	Houston	Harris County	2022-10-23T08:22:47.075Z	1	5830 Highland Sky Ln, Houston, TX 77091	5830-Highland-Sky-Ln,-Houston,-TX-77091	2022-10-23T08:22:47.075Z	29.851238	2022-10-22T15:39:33.000Z	-95.438581	2135	359990	Single Family	5830 Highland Sky Ln, Houston, TX 77091		1568	TX	Active	2022	77091
11726 Legend Manor Dr	3.5	3	Houston	Harris County	2022-10-23T08:22:47.075Z	1	11726 Legend Manor Dr, Houston, TX 77082	11726-Legend-Manor-Dr,-Houston,-TX-77082	2022-10-23T08:22:47.075Z	29.722913	2022-10-22T15:13:31.000Z	-95.585405	11008	850000	Single Family	11726 Legend Manor Dr, Houston, TX 77082		3566	TX	Active	2003	77082
2211 S Braeswood Blvd	2	2	Houston	Harris County	2022-10-23T08:22:47.074Z	1	2211 S Braeswood Blvd, Apt 23C, Houston, TX 77030	2211-S-Braeswood-Blvd,-Apt-23C,-Houston,-TX-77030	2022-10-23T08:22:47.074Z	29.696148	2022-10-22T15:44:34.000Z	-95.410505		160000	Condo	2211 S Braeswood Blvd Apt 23C, Houston, TX 77030		1177	TX	Active	1981	77030
5834 Highland Sky Ln	2.5	3	Houston	Harris County	2022-10-23T08:22:47.074Z	1	5834 Highland Sky Ln, Houston, TX 77091	5834-Highland-Sky-Ln,-Houston,-TX-77091	2022-10-23T08:22:47.074Z	29.851238	2022-10-22T15:32:49.000Z	-95.438581		364990	Single Family	5834 Highland Sky Ln, Houston, TX 77091		1568	TX	Active	2022	77091
4444 Victory Dr	2.5	2	Houston	Harris County	2022-10-06T08:14:23.710Z	1	4444 Victory Dr, Apt 1113, Houston, TX 77088	4444-Victory-Dr,-Apt-1113,-Houston,-TX-77088	2022-10-23T08:22:47.073Z	29.869585	2022-10-22T15:54:49.000Z	-95.471215	120170	120000	Condo	4444 Victory Dr Apt 1113, Houston, TX 77088		1570	TX	Active	1984	77088
1521 Hamblen Rd	3	4	Houston	Harris County	2022-10-23T08:22:47.073Z	1	1521 Hamblen Rd, Houston, TX 77339	1521-Hamblen-Rd,-Houston,-TX-77339	2022-10-23T08:22:47.073Z	30.028791	2022-10-22T15:44:34.000Z	-95.231858	87120	840000	Single Family	1521 Hamblen Rd, Houston, TX 77339		4145	TX	Active	1969	77339
2710 N Strathford Ln	2.5	3	Houston	Harris County	2022-10-23T08:22:47.073Z	1	2710 N Strathford Ln, Houston, TX 77345	2710-N-Strathford-Ln,-Houston,-TX-77345	2022-10-23T08:22:47.073Z	30.048312	2022-10-22T15:44:34.000Z	-95.177383	6878	415000	Single Family	2710 N Strathford Ln, Houston, TX 77345		2706	TX	Active	1997	77345
